Year,EEZ,Catch,Effort,CPUE
1953,South Africa (Indian Ocean),33.9680607,32091.24306,0.001058484
1953,Sri Lanka,14382.72783,141583.8925,0.101584492
1953,St Martin (France),186.248355,86116.79259,0.002162741
1953,Taiwan,5064.46274,1386998.667,0.003651383
1953,Timor Leste,541.9523606,5762.330908,0.094050892
1953,Tokelau (New Zealand),29.531712,906334.2312,3.26E-05
1953,Tonga,1668.380318,11274.18153,0.147982389
1953,Turks & Caicos Isl. (UK),290.9736429,221.1584721,1.315679386
1953,Tuvalu,156.6276221,3211.974387,0.048763658
1953,US Virgin Isl.,1283.6843,147630.958,0.008695224
1953,USA,3678.240907,251993.3569,0.014596579
1953,Vanuatu,510.1415227,23516.20713,0.021693189
1953,Venezuela,8010.603361,5821594.618,0.001376015
1953,Vietnam,1262.593666,198008.6254,0.006376458
1953,Wallis & Futuna Isl. (France),306.5130794,83012.99995,0.00369235
1953,Yemen (Arabian Sea),12.9801923,405.3866013,0.032019293
1954,American Samoa,853.2402997,920305.3189,0.000927127
1954,Andaman & Nicobar Isl. (India),807.6800669,6162.781306,0.13105772
1954,Anguilla (UK),185.0761601,3267.319969,0.056644639
1954,Antigua and Barbuda,992.1564963,169180.2639,0.005864493
1954,Australia,4749.305125,13155738.82,0.000361006
1954,Bahamas,2145.077782,5193106.8,0.000413063
1954,Barbados,49.38156427,2048.583582,0.024105223
1954,Belize,2390.745073,26774.13334,0.089293089
1954,Bermuda (UK),321.8409338,296062.0233,0.001087073
1954,Bonaire (Netherlands),30.79746828,9366.418311,0.003288073
1954,Brazil (mainland),1304.728595,16770.65554,0.077798306
1954,British Virgin Isl. (UK),572.1338667,92652.37579,0.006175059
1954,Brunei Darussalam,150.1641733,65940.31209,0.002277274
1954,Cayman Isl. (UK),33.34180306,46207.35154,0.000721569
1954,Chagos Archipelago (UK),31.976,76.20513883,0.419604248
1954,China,3470.012011,38162.54067,0.090927175
1954,Christmas Island,16.9367432,79.52388246,0.212976815
1954,Cocos (Keeling) Islands,49.98571866,3264.031702,0.015314103
1954,Colombia,1861.59693,107409.8229,0.01733172
1954,Comoros Isl.,4.799388927,128.4650415,0.037359494
1954,Cook Islands,620.979021,2194.612323,0.282956135
1954,Costa Rica (Pacific),260.6288416,269113.0091,0.000968474
1954,Cuba,6186.12406,3415480.585,0.001811202
1954,Curacao (Netherlands),308.4590544,541894.2825,0.000569224
1954,Daito Islands,182.2313859,4598828.945,3.96E-05
1954,Dominica,775.3362303,30095.54267,0.025762494
1954,Dominican Republic,9571.239815,1582102.848,0.006049695
1954,Fernando de Noronha (Brazil),23.35298576,765.6217374,0.030501989
1954,Fiji,24799.34398,766315.841,0.032361779
1954,French Polynesia,1965.652334,163379.4719,0.012031208
1954,Grenada,517.5617667,429529.1926,0.001204951
1954,Guadeloupe (France),700.1818743,195729.3323,0.003577297
1954,Guam (USA),461.3817378,275451.8896,0.001674999
1954,Hawaii Main Islands (USA),2183.535634,605079.8576,0.003608673
1954,Honduras (Caribbean),730.382758,39104.53851,0.018677698
